The_country_of_destination,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cayman Islands,,902.00,48999.00,64830.00,198642.00,13759.00,89903.00,108566.00,705.62,280.93,121355.00
American Islands subordination,,,,30000.00,1892.00,1117357.00,537171.49,,,,21288.03
Turks and Caicos Islands,,,1260821.00,,,2813.00,,68781.00,20076.00,11286.00,
South Georgia and the South Sandwich Islands,,50111561.00,,16052.00,31719.00,878.85,,12231.14,13304.00,87099.80,107449.00
Solomon Islands,,127196.00,79513.00,146086.92,151469.00,97503.00,3170032.00,2608.00,10553.00,235729.00,
Faroe Islands,,37947.00,74476.00,214958.00,85630.00,99610.00,394643.00,1143405.19,291883.00,321584.00,202070.00
Falkland Islands,,9859.00,63301.00,2844.00,,7467.00,698462.00,877.45,,586603.00,8724.00
British Virgin Islands,187582.00,9483654.50,12621985.57,6069093.21,1756044.89,9141108.95,2234048.71,1351421.90,1615924.03,327184.75,78000.00
U.S. Virgin Islands,,,22328.00,67554.00,76389.94,415700.58,262876.00,448270.00,53166.00,506.00,212.00
Cook Islands,,88058.00,,116201.00,,1397.00,,35402.00,,551179.87,284.00
Cocos (Keeling) Islands,,239.00,,1933593.00,2040.00,1014.00,,7658.00,738.00,,11893.00
Cabo Verde,,,,51685.00,,40988.00,1004.00,435.00,79.00,9028.00,38254.00
Marshall Islands,,14727.00,49800.00,62665.00,14082.00,236462.00,84781.00,286464.00,321089.86,50207.00,39655.00
Northern Mariana Islands,,80041.00,8370.00,8164.00,25153.00,17365.00,,36718.00,74890.00,100884.00,57714.00
Heard Island and McDonald Islands,,77640.00,3818.00,66000.00,213118.00,220987.00,447410.00,323160.00,46244.00,56765.00,73.00
Bouvet Island,,,6866.71,2595491.00,83332.00,4272.00,,2992.00,,,
Christmas Island,,4105.00,5151.00,134785.00,12213.00,263777.00,357568.00,65776.00,154.00,59442.00,55129.00
Norfolk Island,,,,,77211.22,,,183.00,,224.00,
Central African Republic,,1133435.00,1498998.00,8017887.00,21642492.00,6362034.64,3509445.93,1697305.00,1872222.00,9478624.00,22818841.00
Dominican Republic,,2240718.01,5986793.60,17175692.59,11260094.46,20544872.01,13230206.47,16961357.15,16569126.47,16708793.43,18372236.51
South Africa,20272033.49,1537152436.66,1540796120.34,1582353398.79,1772895566.63,2987493072.81,4033773063.69,4536534680.81,6820924589.42,3160158253.09,2404029081.18
South Sudan,,,,,,22708.00,49431.00,354038.80,909452.00,473222.45,295478.81
Guatemala,169194.00,275089227.63,493381631.19,480627352.81,326723309.56,354530607.85,297014288.74,316882876.97,294226605.58,453873143.39,453590475.93
Guadeloupe,,,,6815.00,137796.02,3147.00,,714099.00,121029.19,,2200856.68
Guam,,,35593.00,,,5640.00,34174.51,329.00,350037.00,,48762.00
Georgia,,66383868.23,965135.14,1034045.25,3746251.29,3203204.23,2051901.05,20085338.96,104134399.73,29701654.68,7584857.77
Djibouti,,390010307.00,58274226.61,48634641.70,96648098.00,137544180.37,119721845.00,117758322.00,107944883.00,208276725.00,181573581.00
Jersey,,,,,314487.00,237512.25,2130797.00,892836.00,26659.00,,4622.00
Dominica,615.00,11277741.08,15999684.48,28588715.88,30290182.88,35445467.73,46511192.32,35812303.20,31472699.47,63371670.76,99745575.62
Rwanda,,144587.00,,3297775.61,2933931.00,2636430.00,1628145.00,1685937.37,2403270.00,2685184.00,2083040.00
Russia,10583288.84,2695250716.32,3387297932.01,5018855557.23,5508310224.22,6349441972.56,7570299262.27,4655184689.85,2736155394.36,3942457130.31,5452120239.96
Romania,1275294.98,645395411.60,1114861749.97,1917593110.42,1682338537.36,1952566380.82,1736285175.24,1961816763.24,1388751892.19,1462797146.67,1644322725.49
Réunion,,,15555.00,6605.00,,2793.00,60111.41,35218.48,18479.36,,137467.39
Zambia,3195976.00,1081672269.00,1553047350.00,1468679285.00,1199775586.56,761028530.00,925566686.00,940086789.00,599550116.00,309045114.00,228974764.00
Zimbabwe,,2807489.00,1429810.00,4897973.00,3913031.00,6266873.00,3476703.00,5289728.00,8563727.78,5844791.50,6693916.00
Ivory Coast,87010.00,4678371.00,9881655.60,7989073.03,20299155.11,22727602.79,19195747.37,8626004.22,4037783.73,3774415.57,2487092.64
Samoa,,120366.00,243465.00,140688.00,531882.00,725443.00,4307248.00,2262385.29,223616.00,804491.00,427383.00
American Samoa,,,,,,,88345.00,3366455.00,239752.00,114943.00,1945.00
San Marino,,36101849.22,109495190.00,79241910.94,22391894.53,4135889.13,36883057.08,23019658.43,25286099.10,10226180.56,6187455.70
Saint Pierre and Miquelon,,3756.00,14215.00,181179.00,71980.00,5432.00,,1830.00,,216859.25,
Saint Vincent,,18818379.00,32805618.00,194510.00,1554563.00,21378.00,288669.00,105693.00,216802.00,123603.00,46048.00
Saint Kitts and Nevis,,,4679.00,,4229.00,,5907.00,5287.00,3054.00,135049.30,111337.45
Saint Lucia,,37782.00,60856.00,110677.38,773.00,10842.00,45251.00,1421141.00,3913.00,30990.00,24367.00
Saint Helena,,1656398.00,325419.00,407291.00,700813.00,70527.00,213710.00,180121.00,1396953.25,329334.12,824092.00
São Tomé and Príncipe,,,,,,1531.00,68484.00,,100898.00,,27771.00
Sri Lanka,767081.00,132946873.43,160803226.31,258378924.07,272770273.54,291976121.15,338173048.80,447679171.83,369637996.20,403343307.66,435795311.28
Svalbard and Jan Mayen,,30151.00,,2574.00,,146918.00,28522.00,,10277.00,2356.00,85457.00
El Salvador,,1517194.31,1893124.96,1337713.62,1244396.91,2009767.72,2633683.00,2953198.13,3879970.02,5863836.19,5301152.96
Slovakia,9224378.00,210251761.49,236345266.39,375725068.11,445213638.88,467805218.82,631732725.08,668072366.38,617400063.03,691143796.11,688901021.27
Slovenia,630585.00,141158700.18,162080194.40,200478107.45,236294285.38,235937320.69,321105820.47,349811586.39,278895632.98,244143843.96,234676528.46
Singapore,44807163.95,2881954339.68,2242978495.11,2506987857.70,4048295796.64,6095903766.71,5287518974.60,2928221639.89,3387343963.05,4322693801.40,5269264787.16
Eswatini,535.00,3131636.54,4805254.83,7831210.70,19200406.88,36176563.57,19562158.63,7133987.93,13861160.72,14208491.04,3952311.63
Syria,39578839.00,1665569017.05,2158192160.69,1968483383.37,1553849269.17,741479997.46,451940381.06,355148216.91,422914961.28,346531264.15,398429363.18
Switzerland,36267305.43,5942964756.31,8296559342.39,12262381966.81,13496672102.44,19227612338.12,17655093170.57,15179955282.70,9049441350.30,6661868821.68,7340707118.69
Sierra Leone,,26617.00,21540.00,28123.50,159247.31,42923178.64,175376584.68,40316120.71,40344292.47,523135.06,1258736.38
Suriname,,1306706.00,1096398.00,1297839.00,1641316.39,1362903.73,1071665.00,506197.21,245532.00,477449.26,1553144.00
Seychelles,,102191.00,893493.00,176045.00,365183.00,1236297.56,292513.77,365733.15,2044995.00,74406.00,21865.00
Serbia,,,,,17557251.34,29352403.08,52479168.08,80056185.51,54549687.17,59151436.59,84203971.89
Serbia and Montenegro,,15288265.24,19080457.00,19306731.23,8377070.00,,,,,,
Tajikistan,,369140.00,458230.00,141855.00,6379.00,25351.00,2138734.00,224536.00,369332.00,1547439.00,3139836.00
Oman,24346969.00,1485221264.05,1874698185.14,3395534513.17,5548197151.93,5945533275.17,5434015202.33,4483816435.37,4215359536.36,5072878534.91,6675931069.22
Ghana,,13217621.83,18604621.94,12362417.87,15345082.26,21817241.38,40080665.62,19827952.56,21038762.58,21856322.92,25120007.96
Guyana,,1620004.00,837515.00,2315933.84,1066154.00,2731062.38,990248.13,2287154.00,1034649.76,5838549.00,3120698.00
Gorisenyi,,,,,2835.00,15287.00,55456.00,1038.00,1439.00,250388.00,526.00
Guinea,,862407.00,171430.00,142365.00,1421553.64,310010.00,305143.41,26274.11,52705.59,73957.00,98222.00
Equatorial Guinea,,,164642.00,970.00,1645520.00,175759.00,68510.00,53338.00,24248.00,4215.00,18333.00
French Guiana,,9476.00,445878.00,40611.00,210745.00,72464.19,,8100.00,6784.00,1258443.00,1345.00
Guinea-Bissau,,,131787.00,87416.00,423373.00,16956.00,1225255.00,629.00,50505.00,,
France,152193188.05,13532476225.65,16041187526.95,16769193091.57,17775588079.79,18401397592.37,20827120088.97,20281919801.27,17471599099.90,20063159111.54,19485597382.69
