The_country_of_destination,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Libya,241524.00,259612296.00,341528885.00,188784824.00,518665148.00,685243772.00,644510726.00,499914296.00,411282497.00,402030567.00,488364354.00
Lesotho,,266926.00,2447145.00,925524.00,2346894.00,18246257.00,10128256.00,668158.00,518453.00,3713254.00,10323277.00
Martinique,,,155926.00,1020503.00,726753.00,1271267.00,616800.00,359264.00,320060.00,252199.00,379076.00
Macao,,273723.00,1749623.00,84043.00,99678.00,129423.00,58028.00,96977.00,,48311.00,2727232.00
Maldives,,2582819.00,2859186.00,4360970.00,2735084.00,3875580.00,2521952.00,2470638.00,5013680.00,5681311.00,7884946.00
Malta,22598230.00,486595919.00,391316114.00,718228096.00,1001529505.00,633776286.00,348273984.00,214881385.00,57978589.00,122722371.00,145423462.00
Mali,,6124419.00,14367926.00,11865078.00,19726151.00,24379791.00,17236087.00,9725107.00,10131821.00,16040907.00,11580665.00
Malaysia,11173697.00,467034345.00,1075300219.00,1557405164.00,2289116004.00,3499492523.00,5924021219.00,5157644426.00,4881929720.00,4822664343.00,6207050171.00
Myanmar,,29526233.00,80248795.00,145288841.00,154423626.00,255068195.00,362287143.00,282428891.00,473401711.00,312268259.00,343022667.00
Mayotte,,,11866.00,73000.00,65738.00,117491.00,168443.00,169977.00,341925.00,46121.00,82439.00
Madagascar,1548113.00,10759069.00,14788677.00,10931400.00,13774492.00,8869313.00,53870937.00,26351312.00,48951483.00,30686950.00,27783163.00
Egypt,24113823.00,3211856958.00,4931085026.00,5034735966.00,5654768245.00,5980454584.00,6847222461.00,6287476342.00,4996787087.00,4790217769.00,7385884578.00
North Macedonia,,326904.00,4051.00,,90731.00,260283.00,843168.00,,137611.00,345853.00,268897.00
Resident displaced tribes others,,,,,348047.00,227391.00,,,,,
Mexico,519750.00,22163099.00,106877188.00,157420160.00,158936787.00,219088792.00,47897114.00,140532092.00,360906981.00,57750571.00,141120524.00
Malawi,,9481749.00,9012470.00,9907275.00,6857601.00,7576943.00,7284833.00,5175756.00,4945146.00,4928685.00,5802815.00
Regions of northern France,,,,,,,386753.00,,,,
Mongolia,,538979.00,900124.00,515925.00,462569.00,532672.00,1452069.00,8466927.00,896361.00,1053745.00,253525.00
Mauritania,280907.00,26600365.00,26946994.00,39398448.00,49382102.00,45548630.00,61600562.00,45757929.00,638836010.00,81245000.00,76209669.00
Mauritius,,7501780.00,8442756.00,6981309.00,7680327.00,8408811.00,13545277.00,11319265.00,12512705.00,18452224.00,27513275.00
Mozambique,,27745651.00,29387393.00,128975633.00,140021399.00,178149451.00,190029668.00,102267082.00,166382817.00,123555022.00,243227872.00
Moldova,,,17091.00,68063.00,,,112817.00,,104572.00,481766.00,264453.00
Monaco,,,,,,,,,,791.00,
Federated States of Micronesia,,,433448.00,47700.00,,,,,,,
Namibia,,5796073.00,14757615.00,23891718.00,25325421.00,25546227.00,25342461.00,15939219.00,11151980.00,17647325.00,36366234.00
Nauru,,1292950.00,,913103.00,,,,,98900.00,,
Niue,,29811.00,,675248.00,,,,,,98900.00,
Nepal,245250.00,29950362.00,49233425.00,11918490.00,9369694.00,88751784.00,137949196.00,118311420.00,169681488.00,144999345.00,46920977.00
Netherlands Antilles,,,476790.00,,243939.00,375189.00,,1803788.00,522651.00,3472113.00,
Nigeria,771883.00,198927395.00,515611381.00,837645330.00,590438240.00,874685166.00,943150195.00,603972636.00,693001834.00,874215007.00,912655400.00
Nicaragua,,,55688.00,14951684.00,13163428.00,8552798.00,1706410.00,2749248.00,2994003.00,6395625.00,10477965.00
New Zealand,919235.00,362153683.00,531577568.00,836424335.00,857465748.00,704545326.00,407649020.00,453693428.00,390636991.00,428585778.00,595249226.00
Haiti,,223200.00,1207845.00,519280.00,2081979.00,6734970.00,1973707.00,13476156.00,5776106.00,8235071.00,9011396.00
Hungary,,354336.00,270210.00,777795.00,1625523.00,12770052.00,7781778.00,2345468.00,13799788.00,20364826.00,16325349.00
Netherlands,8194643.00,2278136531.00,3227736238.00,4703298849.00,3833136855.00,28987763127.00,2266001762.00,2374877115.00,1784115383.00,2611930627.00,4853533025.00
Holy See,,,,,,,44250.00,,,,
Hong Kong,13972181.00,805504733.00,1266916975.00,1671305574.00,1752968137.00,661119655.00,796608731.00,985785096.00,856125521.00,1161634123.00,907798723.00
Honduras,,908718.00,10170.00,343459.00,778472.00,3505866.00,3086554.00,2043459.00,3834815.00,10284950.00,18234249.00
Wallis and Futuna,,,66008.00,,,,,,,,
